customer_id_old,source_id_old,customer_id_new,source_id_new
cus_TdUEwxpxXr4Jv6,card_1SgDG1G169MUOFIqZkpdXf7f,cus_TdUEwxpxXr4Jv6,card_1TGpqpLfpHJZVq4IbT1OgYgP
cus_TPG0miRE0tOgN7,pm_1SSRULG169MUOFIq6gXWZufU,cus_TPG0miRE0tOgN7,pm_1TGpqpLfpHJZVq4IsXQo3Aqx
cus_U5VOJDlnezcOxm,pm_1T7KNvG169MUOFIquf9QB4XP,cus_U5VOJDlnezcOxm,pm_1TGpqoLfpHJZVq4Iw6R2Vn30
cus_U5VOJDlnezcOxm,pm_1T7KlmG169MUOFIqg1j4LHP1,cus_U5VOJDlnezcOxm,pm_1TGpqoLfpHJZVq4Ify8tFl7q
cus_U5VOJDlnezcOxm,pm_1T7KoLG169MUOFIqoGZJP8TW,cus_U5VOJDlnezcOxm,pm_1TGpqoLfpHJZVq4IvxLk1Pqy
cus_TqrXDVOi9Pmj55,pm_1St9p8G169MUOFIq97cEujle,cus_TqrXDVOi9Pmj55,pm_1TGpqnLfpHJZVq4Ip8QSrXgZ
cus_TKn6efwcnRCOwC,card_1SO7VnG169MUOFIqlEz5Br7U,cus_TKn6efwcnRCOwC,card_1TGpqmLfpHJZVq4I5Ga3JaNd
cus_TuJkpjQYOjk7HF,card_1SwV6vG169MUOFIqVQgN7pA7,cus_TuJkpjQYOjk7HF,card_1TGpqlLfpHJZVq4IXgAMvqO5
cus_TldrLSMPTwGqxP,pm_1So6ZsG169MUOFIqRcXqsqkv,cus_TldrLSMPTwGqxP,pm_1TGpqkLfpHJZVq4IcgRxD3vV
cus_TMhlAeIpx1AHhE,card_1ScgvtG169MUOFIqeUwAtItV,cus_TMhlAeIpx1AHhE,card_1TGpqkLfpHJZVq4IeYKALOKB
